text,domain
"import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())

import torch
x = torch.randn(3, 3)
y = x @ x.T

with open('file.txt', 'r') as f:
    content = f.read()

def is_prime(n):
    if n < 2: return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0: return False
    return True

def add(a, b):
    return a + b

import torch
x = torch.randn(3, 3)
y = x @ x.T

import torch
x = torch.randn(3, 3)
y = x @ x.T

def add(a, b):
    return a + b
",2
"Once upon a time there lived a family of mice. One day they wanted to go on a picnic. But as they were gathering the food, they noticed a big tube blocking their way. 

The family was worried but then one wise mouse had an idea. He asked the other mice to bring some warm items from their HOUSE such as strechy blankets and comfy beds.

The mice carefully piled up these items and used them to prevent the big tube from blocking their path. Then the family happily continued on their way to their picnic. 

The moral of this story is that you should use your creativity to prevent difficult situations and find smart solutions.",0
"Once upon a time, there was a furry eraser. She was round, pink and sparkly. She was different than the other erasers.

One day, she decided to go explore the world. She stumbled upon a hill filled with flowers. The flowers were all different colors and sizes.

Suddenly, the furry eraser started to glow. It was so beautiful! The colors were so bright and vibrant. The eraser started to dance and twirl around in the flowers. She was so happy. The glowing light filled everything around her.

When the sun set, the eraser stopped glowing. She was sad but at least she knew she could always glow again. She thanked the flowers for being so wonderful to her, and she gently went to sleep.",0
"314 - 105 = 209
If x = 54 and y = 664, then x + y equals 718.
37 * 61 = 2257
If x = 90 and y = 884, then x - y equals -794.
Calculate the result of 512 / 64. The answer is 8.0.
Calculate the result of 480 / 10. The answer is 48.0.
If x = 6555 and y = 95, then x / y equals 69.0.
Calculate the result of 316 + 854. The answer is 1170.
If x = 27 and y = 42, then x * y equals 1134.
Calculate the result of 147 + 266. The answer is 413.
551 / 19 = 29.0
If x = 654 and y = 920, then x - y equals -266.
Calculate the result of 561 + 71. The answer is 632.
Calculate the result of 76 * 17. The answer is 1292.
If x = 8170 and y = 86, then x / y equals 95.0.
4026 / 61 = 66.0
Calculate the result of 66 * 11. The answer is 726.
1400 / 100 = 14.0
If x = 622 and y = 7, then x + y equals 629.
Calculate the result of 14 / 2. The answer is 7.0.
If x = 124 and y = 62, then x / y equals 2.0.
Calculate the result of 33 * 7. The answer is 231.
18 * 78 = 1404",1
"import torch
x = torch.randn(3, 3)
y = x @ x.T

def add(a, b):
    return a + b

def fibonacci(n):
    if n <= 1:
        return n
    return fibonacci(n-1) + fibonacci(n-2)

@dataclass
class Point:
    x: float
    y: float

def fibonacci(n):
    if n <= 1:
        return n
    return fibonacci(n-1) + fibonacci(n-2)

import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())

class Model(nn.Module):
    def __init__(self):
        super().__init__()
        self.linear = nn.Linear(10, 10)
",2
"class Model(nn.Module):
    def __init__(self):
        super().__init__()
        self.linear = nn.Linear(10, 10)

for i in range(10):
    print(i)

import torch
x = torch.randn(3, 3)
y = x @ x.T

import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())

def fibonacci(n):
    if n <= 1:
        return n
    return fibonacci(n-1) + fibonacci(n-2)

import torch
x = torch.randn(3, 3)
y = x @ x.T

try:
    result = 10 / 0
except ZeroDivisionError:
    print('Error')
",2
"Calculate the result of 96 * 4. The answer is 384.
If x = 638 and y = 44, then x + y equals 682.
Calculate the result of 89 * 19. The answer is 1691.
65 * 58 = 3770
Calculate the result of 16 * 22. The answer is 352.
If x = 880 and y = 44, then x / y equals 20.0.
1160 / 40 = 29.0
2548 / 26 = 98.0
Calculate the result of 206 + 863. The answer is 1069.
Calculate the result of 1275 / 51. The answer is 25.0.
If x = 53 and y = 65, then x * y equals 3445.
76 * 53 = 4028
If x = 78 and y = 61, then x * y equals 4758.
Calculate the result of 430 - 108. The answer is 322.
If x = 922 and y = 802, then x - y equals 120.
916 + 47 = 963
Calculate the result of 83 * 65. The answer is 5395.
If x = 948 and y = 711, then x + y equals 1659.
Calculate the result of 5376 / 56. The answer is 96.0.",1
"@dataclass
class Point:
    x: float
    y: float

import numpy as np
arr = np.array([1, 2, 3])
print(arr.mean())

for i in range(10):
    print(i)

try:
    result = 10 / 0
except ZeroDivisionError:
    print('Error')

try:
    result = 10 / 0
except ZeroDivisionError:
    print('Error')
",2
"Calculate the result of 894 - 843. The answer is 51.
If x = 79 and y = 64, then x * y equals 5056.
23 * 47 = 1081
If x = 823 and y = 659, then x + y equals 1482.
Calculate the result of 496 + 94. The answer is 590.
163 - 343 = -180
507 - 23 = 484
77 * 92 = 7084
If x = 941 and y = 432, then x + y equals 1373.
Calculate the result of 796 - 742. The answer is 54.
Calculate the result of 45 * 3. The answer is 135.
If x = 237 and y = 275, then x + y equals 512.
191 + 818 = 1009
If x = 9408 and y = 98, then x / y equals 96.0.
Calculate the result of 655 + 765. The answer is 1420.
Calculate the result of 981 - 941. The answer is 40.
If x = 504 and y = 8, then x / y equals 63.0.
If x = 414 and y = 18, then x / y equals 23.0.
If x = 544 and y = 657, then x + y equals 1201.
If x = 5120 and y = 80, then x / y equals 64.0.
Calculate the result of 41 * 32. The answer is 1312.",1
"If x = 165 and y = 412, then x - y equals -247.
Calculate the result of 722 + 475. The answer is 1197.
424 - 334 = 90
2325 / 93 = 25.0
901 - 951 = -50
If x = 31 and y = 651, then x + y equals 682.
6068 / 74 = 82.0
Calculate the result of 559 - 709. The answer is -150.
If x = 59 and y = 810, then x + y equals 869.
288 + 721 = 1009
759 / 23 = 33.0
381 - 499 = -118
967 - 529 = 438
619 - 315 = 304
If x = 10 and y = 10, then x / y equals 1.0.
If x = 78 and y = 54, then x * y equals 4212.
Calculate the result of 711 / 9. The answer is 79.0.
If x = 878 and y = 812, then x + y equals 1690.
207 + 933 = 1140
Calculate the result of 847 + 399. The answer is 1246.
366 - 714 = -348
If x = 676 and y = 869, then x + y equals 1545.",1
